rooms,sqft,price
4,1334,69702
5,1725,86083
1,1058,53492
2,2117,106500
2,2225,110860
2,1059,58369
3,1377,74671
5,1111,61614
4,657,39802
4,1652,86987
2,1867,93885
2,2500,128380
2,1051,57143
5,2168,114166
3,2171,114230
3,1599,77160
3,1801,92238
4,1937,96310
2,2487,122653
4,1739,93822
3,1470,72245
3,1067,54418
3,1653,82906
3,2012,106300
3,1622,85390
3,1110,58583
2,1545,82915
4,1435,77693
2,1632,84012
2,669,34979
3,1775,90946
4,1798,93369
3,1722,87622
2,1498,75676
3,597,29834
5,1490,80692
2,2030,103928
3,1070,58203
3,505,24403
4,730,39004
4,1657,88732
3,1686,89754
1,1943,98873
4,1472,75571
2,750,37264
2,1091,56966
4,1909,100988
2,1570,78109
4,1825,91299
3,1717,85365
3,1398,73030
3,1413,76943
1,2429,123540
1,1707,81174
3,1436,72671
4,1728,91236
3,1611,77700
2,500,26144
3,1825,93051
3,2410,118891
2,1110,56835
4,2227,110844
1,1372,67122
4,1647,81018
3,2035,103733
4,1140,55636
2,2121,109440
3,893,50462
5,1062,51090
4,1203,59795
3,1831,94821
4,1330,64190
3,740,36595
5,1392,70236
4,1108,56971
3,1866,95125
3,1328,66265
3,1535,82158
4,1297,66060
2,1717,83080
1,1408,72021
4,1663,83522
5,500,32427
3,1549,81145
3,1707,82601
4,1400,70143
2,1835,97469
3,1869,96937
3,2152,110429
4,1552,83058
1,543,31449
2,500,25521
4,699,35063
2,1481,76953
2,1421,73447
5,1638,80213
3,1187,58249
2,1132,57362
1,1778,88229
4,1828,88989
4,1372,72521
3,1481,73899
2,1702,83387
3,1752,92708
2,928,52196
2,1140,54960
3,885,43157
2,1247,65570
3,1906,97494
4,1773,93193
2,951,44376
2,1756,91397
5,1543,78576
2,1253,59650
2,797,41242
3,1413,70545
4,1840,92286
3,500,26363
3,1302,63416
3,2500,122265
2,1836,89602
4,1630,87820
5,1131,63454
5,1161,64087
3,1458,72498
5,2301,122431
3,1733,84396
3,1064,52029
3,2088,108351
3,1354,65416
2,2349,114931
2,1217,60367
4,998,56523
1,1587,77334
4,1991,97771
1,2019,96484
1,1580,80099
1,1006,47722
5,1247,63640
3,500,24343
3,1043,53413
4,1411,73886
4,1695,85163
2,1330,71964
4,1472,78553
3,1302,70632
3,1876,93508
3,1050,53909
4,1919,98602
2,2480,123477
3,1736,89354
3,1236,67316
1,1232,59735
2,2105,106010
3,937,45389
4,1023,53931
4,918,46704
4,861,47706
2,978,51651
5,1895,98320
3,2051,103796
2,1151,55646
3,1604,84742
4,1880,92739
3,1550,82324
4,1023,54290
4,765,41502
3,2005,97980
2,1748,86976
3,1788,89667
3,946,44799
5,1617,82872
1,1814,96179
3,1657,84364
2,1127,59045
3,2006,104904
1,736,32334
4,1964,99587
3,2041,103642
1,2286,115356
3,1329,68769
4,1000,54565
1,1897,96804
3,1150,62438
2,1522,72291
2,1341,72963
3,1049,50021
3,1660,87575
3,804,43086
3,1796,92401
4,1017,49578
3,634,35513
4,1475,74587
4,1716,85912
3,1788,86127
2,1909,98077
1,500,24207
3,997,49001
3,1553,75699
4,2260,111188
1,1892,93470
3,2451,128546
4,1238,63812
2,1637,87373
2,950,47068
2,1298,61404
5,1132,62964
2,1183,64538
2,1303,63800
2,1501,74258
2,1511,76687
3,1772,94939
4,1570,82306
3,1328,71505
2,1239,63838
2,1346,66866
3,1275,62816
3,1745,83957
5,1933,94299
3,2137,108040
3,1101,58229
2,1735,85112
3,803,40042
3,1687,81078
3,2041,99598
2,1425,75382
4,2036,101913
3,931,43340
3,1056,51542
1,1432,73380
3,2011,105220
3,1291,65790
2,1273,66214
4,1004,52898
2,1601,81806
3,2123,102950
3,1850,93920
2,1848,92671
3,1397,67250
5,1218,61803
3,1839,98026
3,1484,79942
3,1413,67927
3,1949,102265
3,1401,70735
3,1081,52922
4,1955,99388
3,1540,77131
2,981,46491
3,944,43817
2,1548,81173
2,2500,126853
2,1304,68836
2,1332,69053
4,2262,117004
3,1471,71395
4,776,45509
2,714,39880
3,2113,108431
2,1833,93751
4,1913,94728
3,1471,75833
2,1137,53187
1,1391,69284
3,1568,83651
2,1081,59263
3,1781,95205
3,870,46534
4,1334,71194
4,1398,68969
3,1154,56667
2,500,23283
3,1724,84007
5,1122,62704
2,2163,105188
3,1329,71691
1,1229,61465
4,1546,74627
3,2027,98164
4,1218,59876
1,2007,99501
5,2220,117567
3,1995,105931
4,2313,117618
3,2146,108788
3,2257,113755
5,2302,119036
1,1604,79768
3,1285,68127
4,500,27032
3,839,44959
3,1276,65844
3,1309,70865
2,1424,67487
3,1000,54266
4,702,35536
3,1435,68762
3,1405,71078
3,1096,53545
3,1129,53934
4,1030,57652
1,1302,61913
3,1072,58710
3,2130,109688
4,1620,81390
3,1014,49038
4,1360,73376
1,910,43079
3,2006,98416
3,2192,106298
4,2126,109626
1,928,46176
3,1454,79034
3,1299,69434
3,1781,90081
4,996,47270
3,1162,61941
5,1293,62891
4,1577,81859
4,1847,93910
4,1336,69580
2,1832,96302
3,1911,99828
4,1393,69520
4,877,47858
4,914,52413
3,1796,92236
2,1262,63885
4,644,38383
2,1806,92785
4,1565,82546
4,797,43569
3,2090,107993
3,1918,96432
3,1569,76267
4,863,43858
3,799,45199
5,1346,66838
2,643,32678
2,1703,87335
2,795,39931
2,1582,84924
1,1356,71509
2,1856,95482
2,1031,48489
3,1637,83782
3,803,38259
2,1898,97855
4,1443,78259
5,1748,91996
3,840,41213
5,1750,91049
3,1653,82336
5,1682,83096
4,1656,85117
1,1403,66360
3,2121,111907
4,1422,73488
3,1130,58250
3,1471,72694
4,1025,55480
2,1268,63230
3,1411,69117
3,1310,68998
3,1600,78055
3,2473,121809
4,1785,90731
3,2036,108019
2,1248,64269
2,1206,62415
2,1311,71469
3,1926,93849
3,500,27437
2,983,52847
2,1551,79006
1,1388,70010
3,2484,128971
3,1724,84747
2,1169,60506
3,711,33827
4,1330,73444
2,848,47102
4,1733,87441
3,1581,79868
3,1660,85477
3,2500,125338
4,1046,53021
3,1404,69611
2,894,44959
2,1460,75601
1,2297,117911
1,1784,91971
3,1443,71479
2,1626,85461
3,895,50322
2,1303,65798
2,1543,78893
3,1550,76155
4,735,40546
4,1664,87377
3,1640,80820
2,1311,65681
4,1502,78569
4,758,37945
3,760,37477
2,1567,84019
4,1166,63966
3,1494,75389
1,1920,94311
4,1413,70128
1,500,30048
4,1425,74813
3,1259,68455
4,1383,73185
3,1950,98869
2,711,37607
3,1622,78969
4,2285,117576
3,1187,59267
3,1736,85648
4,1983,104775
3,1605,78455
3,1157,63520
4,1145,55220
5,1872,99223
4,1796,92522
3,1107,51934
4,912,45253
4,860,48133
4,2331,121936
2,1466,76567
3,2500,127407
2,1778,85131
3,1720,85865
3,1653,87609
3,2000,103275
3,1017,51224
4,2500,123689
1,1450,70642
4,1148,54762
1,1651,85974
3,2046,108785
2,996,51870
4,1783,94233
3,1142,62566
3,1247,58878
2,1255,59869
2,1882,94020
3,945,50199
4,1596,78948
5,1328,69051
3,1076,55485
4,893,48714
1,899,40550
2,683,38545
3,1948,99499
2,1379,72798
4,1579,81371
3,2089,109922
4,890,46979
4,1029,50987
3,1627,86128
4,588,31324
3,1211,59222
4,1038,56984
3,1665,83114
3,1287,60946
4,2500,126836
5,1969,99552
4,1073,51596
3,1306,68423
3,1326,63310
2,2500,127141
2,745,38136
3,1602,76761
2,500,24445
2,1497,73515
4,2455,123187
5,1296,64367
1,2052,104322
5,1467,74189
3,1289,61820
3,1374,67916
3,1207,65269
4,1187,60107
1,835,43947
3,2253,110288
2,1303,64412
4,1647,80795
5,1062,58503
3,2058,102015
3,1363,67448
3,1454,75631
2,586,32871
5,1698,87109
5,2406,118388
4,1065,55450
3,1271,62963
3,931,45025
2,1565,77864
5,1532,76239
4,1853,96024
3,1776,87735
1,1094,57753
1,1612,81746
2,1336,69867
3,954,48019
4,1437,76027
2,2500,127435
4,2500,128990
4,1570,79864
3,2369,115903
3,1477,78364
2,1473,76399
2,525,24285
3,1020,49373
3,1108,60162
3,1554,81573
3,1507,76160
4,1211,65017
2,1206,65573
3,1417,72708
5,809,38732
2,1194,64760
3,1309,69622
2,876,49597
3,1335,72732
4,1083,55313
3,2118,102404
3,1378,71724
3,1405,75901
4,1714,88343
2,1778,89056
3,632,33361
1,1312,69944
2,1045,53682
3,1427,77455
4,1232,67698
3,1579,85080
2,1010,48262
2,1216,63322
3,1204,62220
1,2041,100162
4,1684,84254
3,1684,85676
1,1357,65544
2,1308,68973
2,1781,92880
2,1889,99990
2,1508,76359
2,2071,107105
2,2137,107635
2,668,35272
4,1715,86983
3,1479,79803
2,1694,84634
3,2058,106644
2,1040,55039
3,690,39216
4,2053,109030
3,1001,49887
5,1157,55356
3,1602,78400
2,1157,63826
4,704,37249
4,1517,82195
4,1109,56198
2,1799,88716
3,1247,62397
4,1156,60594
1,1395,73449
3,2026,106746
2,1954,103073
2,953,48257
2,2500,123877
4,1337,69659
3,924,43185
2,1944,93802
2,1319,70816
3,2500,126033
3,1924,98494
4,1401,71723
4,2288,118483
2,1925,97637
2,886,46863
4,1944,97929
2,1242,62044
5,1458,74952
2,1566,82780
4,1060,55313
2,833,47483
2,1684,80716
4,806,37509
3,500,28120
4,1082,55639
3,1666,82711
4,1365,65459
2,2134,106960
3,1592,85764
3,1117,61847
2,1280,69818
5,782,39932
2,2043,107111
3,809,39586
2,1040,48648
1,1420,71909
5,1501,76807
3,749,41493
3,1047,52648
3,1633,87775
4,2065,105463
2,1675,82366
4,1487,77689
3,719,35884
2,1191,63014
4,1761,91950
4,2040,107300
2,1945,97615
2,1569,75564
2,2102,102296
4,2500,129522
2,1203,62470
1,1118,58244
4,2259,110431
2,1618,83018
4,1556,76822
3,1696,85680
3,1173,58521
2,983,55005
3,1111,60006
1,2123,102938
4,782,42547
5,1749,88795
4,1221,61822
1,1323,65921
2,1871,93441
3,1922,96164
3,1671,85055
3,563,32157
3,2285,117700
4,2155,113930
4,1546,79695
3,1505,81642
4,2401,123312
1,1974,94466
2,1485,73043
3,1354,65726
3,1403,69005
3,2089,102121
4,2020,105861
4,693,35695
2,1732,86769
1,1932,96865
4,747,38511
1,1499,79533
4,611,32019
3,1565,78929
2,500,23144
3,1159,64084
3,1194,64962
3,1146,61126
3,2226,115917
3,1768,85704
4,1300,69578
3,1033,57022
4,1381,75394
3,985,52720
5,1987,98353
4,2498,123965
2,2027,101901
2,1666,86731
3,1417,75916
2,1297,65895
2,2373,118361
3,1212,62070
2,2281,110552
2,934,43109
3,1352,65837
3,643,31676
3,1580,79232
3,868,49301
4,2333,114433
3,1706,91741
3,1769,93824
5,1641,88420
3,954,49725
4,1562,82510
2,2419,120347
2,1504,78453
2,991,50788
3,574,33499
3,1143,60268
4,619,31935
3,1915,93218
3,1891,95931
3,1062,50261
3,1807,94837
3,1212,64838
5,1477,78448
2,1686,85980
4,1278,68797
2,1709,86646
3,657,32983
3,1559,75137
3,1483,72815
4,500,28694
3,595,30729
2,570,34385
4,1707,87676
3,1562,76825
3,1637,86621
3,837,39789
1,2069,101911
4,1991,103221
4,1117,59865
4,2088,109509
5,1375,70780
2,612,35939
4,684,40355
3,1867,92251
3,1448,70040
3,1941,97258
3,1456,70328
2,1634,80975
3,2500,130894
2,2198,108881
2,1284,64886
1,1687,89526
3,1747,87792
3,1881,95328
4,1536,80761
3,1253,64810
1,1498,75371
4,1260,61926
3,2342,119356
3,2120,103986
4,1398,68676
4,1714,90097
5,1417,70838
3,2097,104083
3,2024,106662
2,1784,91336
4,1936,94339
2,1830,92475
1,2087,108903
4,1766,91321
2,1576,77128
4,1211,60155
3,714,39570
1,1486,70293
1,1129,52978
2,1530,76330
3,2070,104196
2,1586,83585
2,1292,62302
2,1073,59196
3,785,39376
3,2166,113795
3,612,35825
4,1033,52304
4,500,30671
4,1342,73614
1,1329,71317
2,1298,64355
3,1468,77910
2,1089,58333
3,1043,48704
4,2409,120959
4,1333,65924
4,1954,99389
3,1082,56300
4,2306,117171
2,2257,110887
4,1616,87114
3,950,52363
2,1544,77581
1,1524,75234
3,1620,82349
3,1011,49981
4,738,43318
3,1581,80874
3,1495,77868
4,1501,72930
3,2013,106675
2,762,43330
4,2005,106624
3,1128,54642
4,1302,64126
2,1087,59459
3,1545,83207
3,547,31638
3,1216,59090
3,1242,62447
4,2132,112772
3,1575,81029
3,1848,92230
2,1503,72846
4,976,53579
4,1954,102943
4,1077,53471
2,1237,58544
3,1591,80923
4,1973,102120
2,1399,66995
3,2255,111731
5,1214,59525
5,1833,92691
4,1502,74259
4,2273,116684
2,1607,86068
4,561,29590
3,2044,103056
2,1459,75058
2,1223,64529
3,2111,102781
2,1334,71673
2,1800,90541
4,1116,58806
3,1082,53338
3,2405,120538
3,1106,52733
2,1208,64213
2,646,33216
3,2315,117942
2,1699,88916
1,1619,81705
3,1988,103280
2,835,42697
4,1229,61036
4,1454,73429
3,726,40351
2,2156,107576
4,1491,77236
3,1338,67474
3,1618,82576
3,1124,61621
4,1523,77983
3,2500,130104
3,1802,91074
4,2334,116661
5,1322,68855
5,1124,61039
4,1655,87110
1,829,38279
2,500,23504
2,1866,92840
5,1821,93159
2,1917,98502
3,1514,76467
3,2489,122757
2,1456,73688
3,1223,62714
3,500,29781
2,1476,76698
4,1916,99939
1,1503,77480
2,2062,108670
4,2500,126673
2,1413,67874
3,2116,106036
2,707,33523
3,2016,100261
1,1532,81949
2,1389,73937
1,1418,73574
3,1422,70626
3,1346,65064
2,1599,81661
4,1413,75849
2,922,43509
4,1709,91938
5,1196,59505
3,2024,105712
2,1483,74599
2,1564,77770
2,500,22198
4,872,47113
3,1970,98461
4,1133,59175
4,1234,67907
3,1361,66575
3,2182,112143
5,1687,85921
4,2155,110873
3,1366,69197
4,1607,83963
4,898,47062
4,2089,102624
4,1554,77492
2,1522,73156
1,1669,88386
4,2223,114944
5,1393,71961
2,2332,116049
3,1074,56747
2,1711,89565
4,2500,124072
1,1255,60603
1,1623,79516
3,1939,96477
3,1431,75488
3,750,35990
3,972,46481
4,1790,91393
3,1946,100172
2,1892,95629
2,2073,102334
4,1536,76021
2,1604,76280
2,741,39764
3,1659,87307
4,1806,87509
4,1208,58585
3,1822,88074
2,592,30679
3,1876,90606
4,1650,83612
3,2500,131017
3,2207,111374
3,2253,116088
3,1909,93465
3,1823,92476
2,909,46096
2,1332,72401
2,2413,125133
4,772,38293
3,1275,69433
4,790,39628
3,2225,108984
2,1217,65771
4,2272,111851
3,1293,70381
4,1248,59751
4,2139,110013
5,1969,104433
3,500,26362
4,1726,91200
4,1800,87607
2,1605,84595
3,1171,62748
2,1514,76279
1,1301,64736
3,1606,78643
4,1399,69888
4,1189,56928
3,1582,80635
4,1901,98464
2,1645,86703
3,1223,60690
4,1668,86672
3,2035,104568
3,2298,115756
4,2104,107125
2,1769,92407
2,995,51633
3,817,45925
4,1399,67565
3,795,37457
2,1108,55181
4,1415,75542
4,1258,60415
4,1336,65640
4,836,45833
1,1616,86193
2,1998,100782
3,1226,59025
3,1863,95958
4,2500,130259
2,1454,76824
3,1826,92471
2,1598,76100
1,1985,97199
3,641,32492
4,972,53644
3,1572,78160
3,1943,103317
1,1565,75521
4,668,37050
3,1088,57503
5,1103,57299
4,1694,88802
1,1119,58485
4,1160,57020
2,2042,100227
2,2168,105262
3,1293,64606
3,1712,90794
3,559,26659
2,1599,76123
2,2095,110047
4,1763,88643
3,1551,79464
3,1306,62327
1,1177,60548
3,1410,71441
2,724,36981
2,2305,114239
4,1782,88291
2,1449,75552
2,1190,60859
